,talentId,platformId,type,followers,Avg View Through Rate,Avg Engagement Rate
1397,89d7c03a-8984-42c3-b63b-747ddcee5780,1158903278,video,44740,14.20%,1.84%
1401,8a0d29d2-c1f5-44cd-a3f0-cead0d87dd32,321910959,video,35973,4.35%,0.49%
1403,8a1bb217-93eb-4d48-ab8a-b1a013bcafe6,408859148,video,83751,84.29%,5.06%
1405,8a24c8a4-7de7-41f0-a4e3-e7c13f1cb059,463999827,video,68479,142.03%,7.39%
1408,8a64f3c4-d805-4312-9ca8-1f104d91df34,1338983035,video,30576,10.70%,0.36%
1410,8a8c1b49-fe0d-4449-b2ca-7e5473488750,1555233594,video,38160,7.88%,0.94%
1412,8aac7509-d786-4d3a-9fd7-6afa178b6d44,4371792145,video,40356,17.06%,1.16%
1414,8b1fbe8c-8055-48ef-bbbe-30f989d70745,1424795780,video,55723,9.36%,3.44%
1416,8b2dbd8f-b4ca-4444-b762-01442dde916e,327381152,video,38367,16.74%,1.38%
1418,8b41f647-290a-49f0-8e9d-9edd3d9e6281,540820152,video,43054,2.15%,0.78%
1420,8b69bd68-3d03-4b9f-ad66-f9554ccc793d,1290391685,video,40049,18.12%,3.38%
1424,8c090c3a-037b-47aa-bb22-0d1726522db0,1054698110,video,73485,4.35%,0.67%
1426,8c44950c-86b8-47e2-ab79-751572e47cdf,672592661,video,55032,6.56%,0.67%
1427,8c8a10de-1bd8-4b1c-a606-711e192bf002,378811516,video,93740,29.23%,3.03%
1429,8cab8471-6892-4d49-ae99-ea53c6a6957c,5495544903,video,79076,3.25%,0.41%
1431,8cd7d5c1-e0a7-4019-8c8b-1e1900faa8d2,1476936149,video,62710,11.16%,1.09%
1433,8d3a30df-acc6-41d1-9a2c-f8c540442dd7,29163283,video,46123,4.66%,0.58%
1434,8d635ae5-939d-4a52-8d49-55155fa45484,412168620,video,21227,4.17%,0.80%
1435,8daebe7f-abb1-410d-9142-04dbf5ca3015,2301004676,video,30232,162.51%,2.14%
1437,8de51046-729a-4034-bdfc-36425be5238f,944727544,video,41189,58.16%,9.71%
1439,8decf37d-d17f-4ccd-a234-ab316091acbf,2261780342,video,26129,7.59%,1.36%
1442,8e22b2d7-a9cf-4a52-b072-3b525741a9e5,38658248,video,71189,7.15%,1.64%
1444,8e82c718-ee86-4435-9e81-26b77581263a,328050142,video,63270,1.59%,0.43%
1445,8eec3f8a-8d0d-451f-9b4c-0ab35937a86c,332126449,video,55939,84.59%,5.82%
1447,8f113f7b-b430-4316-baab-8346d771e157,358030009,video,34167,3.80%,0.60%
1448,8f3d9af1-8aff-4a14-a9da-3b0f6bdd291d,300596944,video,68523,22.51%,2.89%
1450,8f5673d8-363f-4bf1-b68a-9cd5ea1d1d0e,1226623145,video,77766,22.98%,1.39%
1452,8f65e588-0417-45bf-83cc-091a47631776,1435964340,video,51022,3.79%,0.54%
1454,8f6a21cf-fceb-4e1b-9cf2-40fe5fa08f95,903695411,video,25014,30.18%,2.79%
1456,8f879e14-ae14-4d3f-8c5f-d692d7ba656e,1972755689,video,26392,13.29%,0.75%
1457,8fb2f7a4-0512-432f-a505-a8335a3c5f2f,1028670289,video,34081,2.02%,0.27%
1459,90032c7b-4f4c-4f5f-b600-d6677fed57c0,221225945,video,22452,39.14%,7.43%
1462,907bf129-4a81-47f7-9c36-37458c5818f8,619455105,video,24084,8.56%,1.18%
1464,907e700e-5521-4600-9fe0-020dfc7eec64,391277333,video,39496,15.60%,1.82%
1467,90c074b9-f881-4e0c-93a1-55a20094e83d,1822701300,video,51659,2.78%,0.58%
1469,90d8b79a-5889-49d2-a117-b8f88a7f5107,2263947442,video,91460,5.36%,0.66%
1470,910fa37d-df11-4059-8364-f430c19f661c,235545053,video,29895,13.89%,2.44%
1473,918bc9d4-7700-43ed-baec-bcfad4477dad,215035641,video,45786,5.42%,0.44%
1475,919e3be2-4d2c-42b2-96f8-78747d0d120e,308835229,video,38273,9.72%,1.63%
1477,91c8be43-6562-4b34-99a8-3e27792f1d93,4328488023,video,29018,27.00%,7.06%
1479,92185c89-da02-4c47-ac7f-c000e989e5c3,1286296419,video,79125,2.74%,0.54%
1481,922f83a6-3f8a-4732-ac91-b473a071d173,406634836,video,68707,47.47%,6.61%
1482,9266d7c0-c64a-4c95-bd6b-7308388fb1c3,636541155,video,21569,10.87%,2.13%
1485,92c6c207-92de-4ffc-8b48-68f53c1abd47,43897065,video,72347,19.55%,1.33%
1488,9396fb1f-e2c6-4942-b10f-9e885af98bbb,1143864433,video,88137,2.11%,0.34%
1489,93efc3a0-876a-40f8-8d4e-d66d3307527b,323372683,video,30940,3.64%,0.88%
1491,94722cab-fb80-4466-b30f-106960df2617,474086207,video,43749,1.88%,0.33%
1493,94985947-7e3b-4cc9-8321-0ed128ca7e89,610751823,video,90613,13.42%,1.61%
1496,94ad84a8-c369-4e84-9061-b396b17830c3,1322038111,video,27304,6.60%,1.20%
1498,951536d3-c214-40f5-beb4-c77c13af63e0,409277216,video,47873,51.92%,5.02%
1500,952c8893-964e-473a-8636-3a45188dc558,239486568,video,50816,26.65%,2.80%
1501,95632bb9-b752-4521-b05e-1fcbdb786e5a,1667791339,video,45033,21.24%,2.67%
1504,957524c2-2e75-4e19-aa52-1e85c330180e,1134566308,video,21859,74.74%,3.52%
1506,95addc53-567d-4f42-9ad9-f2bb1b070cd0,685413401,video,40191,61.86%,4.80%
1508,95affa2d-d144-4710-b500-9d317392720a,250371272,video,60391,34.39%,3.68%
1509,95e18628-a6c3-4166-848e-e5d12a67de03,1531049955,video,51330,70.50%,8.37%
1511,95e2d0f5-cc66-4ce4-998a-a244eb533c4d,469832936,video,21278,12.68%,2.03%
1513,9655afc3-ee13-43e4-85d5-1f9d9341ae24,289203442,video,69463,8.45%,1.89%
1514,969e5ef0-5c06-458e-8866-3df66854b95f,463198724,video,37808,2.84%,0.62%
1516,96e2e617-1aa8-40f8-80fa-b94923231e43,193922544,video,61620,58.67%,4.44%
1519,97028e8c-47a4-48f7-9ec2-37198ae62200,2236684010,video,45455,62.83%,3.05%
1522,9761e7d0-7106-4b6e-a236-a7f9a9861514,2248390736,video,70425,1.77%,0.20%
1524,979bc94c-2651-4c70-9758-940b3eea7bc6,268773318,video,76651,71.53%,2.28%
1526,97c2b62b-dcdf-4992-8c51-5f5825ba4366,258341538,video,64552,53.46%,3.55%
1527,97f923ff-ef08-4f26-8c4a-a7d3957d360c,339087175,video,27614,22.24%,2.61%
1529,984af4fc-3565-4ca8-9398-948f092eeb6f,1006293805,video,40318,178.54%,11.01%
1532,98b799fe-1a09-4214-bd29-1bc013554fc7,645338,video,45957,22.57%,1.44%
1533,99ec4cd0-d415-48f2-95b7-c763cd32dedd,384472687,video,20078,2.01%,0.61%
1536,9a4dcf7b-cb5e-498b-a4e1-48105834f830,284810203,video,70635,24.02%,0.72%
1538,9a5909f7-695e-4ff1-9296-f22bc28c026e,1448316782,video,66125,21.20%,1.40%
1541,9aca34d1-e525-4ed7-aa19-9927400bc201,217467861,video,44345,0.87%,0.10%
1543,9ae474ef-e6b9-45c8-8b8f-c1f4f1b8c1ce,8187540,video,70952,11.70%,2.68%
1545,9b758fdf-729c-4adf-b9f9-ef636245bb50,195135622,video,49148,1.19%,0.18%
1547,9b7896bd-2bdb-4d80-886f-f04210ea40aa,40592312,video,48291,36.31%,3.54%
1549,9c0a4591-fbfb-4a44-82e7-5326ed2561dd,500099136,video,59059,5.67%,0.93%
1550,9c3f9eaf-1310-4fa2-8069-0ea4e4704555,425316291,video,31395,109.53%,9.77%
1554,9cfadef2-64bb-4f98-97f7-e3480e217ac6,557549027,video,30231,8.18%,1.34%
1556,9d4878fc-616e-42de-8e3c-09e5ab461a7a,5075242642,video,26851,26.48%,3.21%
1558,9d608254-b44e-42d0-b016-744783892728,380994837,video,37144,6.32%,1.18%
1559,9d837138-320c-4916-b20a-d94b6468ac9b,578617095,video,35506,115.27%,20.81%
1561,9deeb46e-9786-41b8-90ff-e24380b3612f,523645854,video,99968,7.08%,1.67%
1564,9e09f393-ed31-4985-9a0c-ce3dd754bae1,1764391311,video,91736,23.43%,2.77%
1566,9e290bbb-f555-47f3-b4cf-f35dd9c79b3c,1721602,video,20778,1.78%,0.53%
1568,9ed45626-e7de-4b24-af78-c351a01484a8,21750108,video,38915,4.44%,0.54%
1569,9f10d1e0-6474-4037-80bd-312a7a6c480a,219408410,video,29928,4.82%,2.44%
1571,9f2e609c-e582-4fcb-99f7-1c3ed2c16367,572165464,video,30205,47.37%,5.26%
1573,9f70b840-db65-4f03-89a5-0ed045e4b166,196062609,video,71426,9.13%,1.87%
1575,9f8677d7-55a3-416e-af52-5a3ad9470124,1284605881,video,33408,2.70%,0.58%
1578,a03c2cce-b003-474a-ad71-703c1bb2f70c,283239473,video,77056,18.70%,1.36%
1581,a067e3e2-b6bd-4dec-b6ad-743244fed50d,1387057739,video,91830,44.03%,2.38%
1582,a0908696-8344-49f7-9763-55d8d524f8cf,2032922016,video,49370,67.85%,7.10%
1585,a10ef5d2-25f0-4221-8960-e6c9570aef0b,221196270,video,23930,226.55%,4.21%
1587,a15472f0-a2d5-4fe1-93a9-e000a3639a5b,195871897,video,53007,9.96%,0.66%
1589,a1c20dfc-04fe-4c33-899c-2fcd84206c40,338407452,video,98653,3.27%,0.47%
1591,a223633a-6da4-44d5-a315-956a14a0cd11,528879516,video,63742,7.29%,0.73%
1594,a29eac75-dfdc-424d-bedd-c44eaf3d5368,591827943,video,41225,13.37%,1.28%
1596,a2cd263d-1eee-4e43-9bfb-c0a862cd5624,1757634901,video,74389,10.40%,2.10%
1598,a2de5fc7-fddb-488b-b6f9-ca45e2b7c9a3,535327765,video,55195,5.39%,0.82%
1600,a2fd82d1-b118-4c0c-8ec0-511771fd42be,300636191,video,43637,12.66%,0.10%
1602,a30f0248-abdb-41d1-a88a-3a8017ba343b,1443872454,video,67350,3.60%,0.84%
1605,a3460d32-d26e-4aa8-b43a-89660fed7d2e,401060543,video,81537,14.49%,1.09%
1607,a34cc657-3ade-4d27-87d5-189a169de7d5,2923556437,video,63299,20.25%,3.32%
1609,a4029685-5197-43ae-815b-b93d7c982cd8,263260063,video,24441,18.41%,3.45%
1613,a4a1bca3-43fc-4d56-9bee-f45c0dbb77a2,3219504334,video,40999,46.64%,6.63%
1615,a4d9a0bd-c263-4e77-beb7-d928d2514893,336478533,video,72846,8.11%,0.85%
1617,a5125710-9b6a-4b06-99a7-d57fb08a2b8b,409949149,video,67214,29.30%,2.48%
1621,a561e8a8-e9ac-4b3d-a957-b5b2fad88b54,2128016613,video,94271,23.33%,2.84%
1624,a6ce1339-1beb-46e6-a602-8f16eab2f5e1,1272032429,video,32127,10.07%,2.10%
1626,a6da4016-07ca-42f2-9926-f45e445649d8,2176379789,video,88417,28.19%,5.26%
1627,a749a971-3f24-450c-b8ec-bd448045013a,1445468799,video,36776,27.06%,5.29%
1630,a76cb986-9a19-4978-b3b7-b7baadaa8ee5,635279055,video,59783,30.29%,4.43%
1632,a7822ca4-fa63-4945-968d-8f0916cde7b4,1415540197,video,85634,8.38%,1.25%
1635,a788b065-5ee7-49e5-9c70-d6c8fc112591,326858093,video,21917,9.70%,1.37%
1638,a7aa0dcc-5748-4ad8-b554-e69e7cdebb3f,742093125,video,99663,13.66%,1.57%
1640,a7e5cd6e-b9a8-4a38-a4b1-f0117b44c9fb,208655365,video,78365,31.98%,1.95%
1642,a80ca4ec-0e63-4fbd-a0ad-ccd130baf135,1429975865,video,40319,1.57%,0.63%
1645,a82e5807-3f09-4a72-827a-eb893765cca1,669343619,video,20701,11.25%,2.32%
1647,a8340736-f9b4-46f5-b315-ce988eb1890e,576425928,video,44594,13.58%,3.75%
1649,a8700dc7-b002-4c93-b1b4-480f3588eed6,207013286,video,92605,14.19%,2.27%
1650,a8dc2d33-35cf-41d6-8e94-e49be936782b,1917688005,video,66666,38.41%,3.01%
1652,a8fa224e-6e18-4978-9a53-0677b011a988,981224929,video,65332,27.46%,3.94%
1654,a97bb0da-d0a4-4282-ba83-62f9bbe6f255,1423415155,video,39499,2.69%,0.79%
1657,a9b2062a-3852-470a-bfb4-1e9e533480d6,3244339325,video,94179,25.40%,3.31%
1659,a9f20f07-ae92-4404-9f6b-e3ea8335d5da,218995405,video,99242,3.76%,0.38%
1661,aa369cd7-28b5-46f6-a820-e2d19844617e,230346781,video,86188,4.41%,0.42%
1665,aa764c22-21ed-4e4d-a141-a7feed44d265,2183538030,video,95884,14.51%,1.43%
1666,aaf2ef8a-4353-4b6c-bf6b-8c5d4ea0dc9d,280459664,video,40410,1.13%,0.31%
1668,ab19764e-c817-44b6-8ee2-1c5d40d9a95b,269113997,video,83762,3.93%,0.98%
1671,ab819696-4466-4dc7-85ad-a5da2217443b,1390251088,video,70744,5.84%,1.09%
1672,abb5e9e5-d4f1-4747-ac29-25026c203b21,482304121,video,22481,28.58%,4.41%
1674,abbe5d8b-0f70-4064-8ad9-5aa412fbf730,183072714,video,85765,4.48%,0.75%
1676,abe87e00-4d96-4ecb-b86f-84167a383ed2,1632097177,video,41623,31.42%,3.48%
1678,ac47fc8f-116e-422c-914f-57cad6d2f4ae,1334216223,video,28826,188.41%,9.30%
1680,ace6ed82-1625-4649-925b-fed7b4defde3,17114291,video,48143,21.54%,2.50%
1682,acfc9453-bca9-44ba-bd87-9f8c64c5bb9f,249081571,video,34920,7.50%,1.63%
1685,ad2b4aac-9afb-4b37-bb33-17c1b1389d4c,296636737,video,44789,14.90%,1.56%
1687,ad83f46b-c73a-4eed-9679-0094f93ab993,903072680,video,98811,3.78%,0.41%
1689,ad87a1d0-8b89-4d7d-a303-96f9b69f909f,422872197,video,60826,3.25%,0.65%
1691,ad9c1fed-677d-4c39-8c98-c468c7800fc0,428377881,video,91881,8.01%,1.12%
1693,adcbab35-0eaf-4a5a-9642-2ad20bf283d1,551948522,video,96237,23.32%,2.12%
1695,ae163bbe-dc3d-4472-9b22-6b5f3001372e,1550073533,video,44673,20.44%,3.35%
1697,ae940e10-43de-4b58-b4f7-7fe7d85d13ee,179405951,video,50977,5.63%,1.64%
1700,aeef79b4-f3da-43d2-9920-b8fb846c9fb4,3181403789,video,84228,8.97%,0.51%
1702,af26de23-e967-4b71-970e-51c234fd5263,331290007,video,60262,30.14%,4.11%
1705,af5f4059-c443-4bf4-8c8e-372af9c12efc,196318665,video,43745,2.85%,0.56%
1708,af771f7d-d43b-42c2-a818-b36e0b1dfe6f,288194859,video,40652,9.58%,1.69%
1709,afacfdf0-bf43-4bfc-8b0c-ef4367ce41ef,3518512123,video,64381,226.99%,6.96%
1711,b021ab79-ce8f-4682-84a2-0324797b0aae,1767474419,video,36125,7.59%,0.97%
1714,b0b7882f-8188-4331-b5cb-becd04ec956e,246084399,video,90193,41.07%,1.74%
1716,b0ef2aaf-3eeb-4a3d-a099-4ebd0d97eae2,2189378674,video,39663,3.47%,0.77%
1719,b17c2ee8-6a3f-4b20-8eb7-77e1dea79fcb,262790869,video,32041,13.74%,1.54%
1723,b18144c8-35e0-4555-8af8-dfd6b3270521,44240700,video,62455,3.21%,0.81%
1725,b1f80a80-a806-47cb-bfcc-086a83d6b438,315035887,video,59806,11.76%,2.07%
1727,b26f1fb8-fc8a-4c03-b1a8-aa60841c7968,201952807,video,35025,26.66%,5.04%
1729,b2990d53-7f0e-4fe9-b8e9-cf25950f9d8e,211126126,video,43336,9.83%,1.03%
1731,b2c12c0e-751e-40c3-83de-ec7b288d1072,565015779,video,42216,5.91%,2.59%
1733,b30bbc9d-5746-40f8-a00f-ed6f3c6b498d,6095652358,video,54701,101.60%,8.71%
1735,b3592d0c-1010-4fb7-be3d-ee2cc39fd42b,190221095,video,69961,3.68%,0.42%
1737,b36008c0-3e73-4cc0-b39d-ca11ab0e0c9a,674114784,video,22779,3.56%,0.35%
1739,b3681f5e-e471-4016-b20b-1fd045a0599e,202247255,video,86250,23.65%,3.01%
1741,b3ff7ca8-2256-4975-bbe8-aaa22d02ff74,434660091,video,56270,4.96%,1.06%
1742,b438e13e-47f1-4924-a14c-407073cd562f,470016536,video,68182,9.14%,1.78%
1744,b468d41a-27c8-41e0-be4c-30fdd0a05aca,285116357,video,33301,11.33%,2.07%
1747,b4ca6a61-741c-4997-af1a-945cf73a1e00,189467653,video,60976,6.88%,1.25%
1749,b4d659e9-a19a-45d1-a182-1b4594729cb7,837564295,video,43615,2.20%,0.61%
1751,b521dac1-1667-457c-9af1-cff329754107,313462102,video,77972,1.25%,0.30%
1754,b57534ce-f806-4f20-b31d-775628f99fae,384856837,video,72806,3.31%,0.24%
1756,b5a8e03a-24bf-47d7-b351-0cdef3bd3788,1318259443,video,73467,12.33%,1.92%
1758,b606e50f-5773-47a0-814e-24354bac4fb2,324895113,video,21500,4.67%,0.95%
1760,b62f20ea-11ea-43b3-9fb0-0d27f04165dd,1522180397,video,25476,13.57%,2.00%
1762,b66e9ecf-8324-49b3-9b94-38b99c1896c8,17234181,video,26563,3.38%,0.64%
1765,b6dee49c-1b9e-4ed2-ab0d-fc8e6f9516dd,387003435,video,70171,1.44%,0.36%
1767,b6e16f0c-767c-40e4-9aa3-cc6c45d805c6,1620863911,video,48134,6.52%,0.77%
1769,b7989a30-2a4c-441d-91e4-718b9ae0d8bc,278537157,video,78103,2.78%,0.42%
1771,b8646cef-3b74-4d5e-895c-bb9451dd3439,3105301888,video,52499,1.92%,0.41%
1773,b87244cb-b524-43f0-871d-b584e90fe4f2,521970669,video,72003,4.97%,1.33%
1775,b895797c-4353-4654-8aeb-d1b36433c3b5,2227841711,video,59013,1.31%,0.33%
1779,b90058ae-7285-4cab-9cb2-138190d2c09a,1363363443,video,36395,2.83%,0.54%
1781,b90d214b-6ca8-44c5-b5fd-db0ab3a5f956,656856127,video,92826,1.47%,0.25%
1782,b9846140-22c0-43a5-a18e-6ebbbb04198c,285899301,video,55138,16.82%,2.01%
1784,b9b9f6ff-730f-4420-ac2f-6a7126322222,257696629,video,32945,2.28%,0.80%
1786,b9cc6d69-e167-4f6c-9793-0f14ee50ac42,577269606,video,36421,3.42%,0.30%
1789,ba70cc2a-d367-4888-a387-cd11cbc9eb65,246075116,video,47592,18.56%,1.28%
1791,ba9de0c1-fce5-433c-a2ab-cda55dd6b182,5887927623,video,82741,18.33%,3.28%
1793,badfae4d-3888-4c48-9739-14d856ccf2c3,350430882,video,40675,8.77%,0.75%
1796,bb27aa6f-2a12-416e-8de7-569a1c26c646,225149316,video,21793,9.55%,1.85%
1798,bb7747cb-9e8f-436b-8f8b-2ed81cc9e081,629815732,video,70963,9.45%,2.70%
1800,bb82c640-ef36-4769-a66e-576df3da278b,40148358,video,50056,11.42%,2.89%
1802,bbd6a4ae-2c81-4ac9-a793-3785a161b264,2212337585,video,86326,24.54%,0.58%
1804,bbea901b-539a-419d-bfb7-3334e0c5ec97,312844955,video,97765,28.41%,0.21%
1806,bc67856f-1a4d-4bcb-a8a8-02f893c8b05e,261813415,video,34229,2.84%,0.71%
1808,bd0d7c6f-1d25-4d7a-8dcc-3c3f6579721d,1021722634,video,69665,13.38%,1.25%
1810,bd2cd61a-8986-4c34-9ba9-47001d25303d,193652315,video,31159,4.18%,0.84%
1812,bd59b623-4df4-4e89-ab83-b50ec43355ca,280629930,video,44799,2.43%,0.10%
1814,bd5cf262-aed3-4349-b3f1-42dbafac1ead,176511392,video,84204,12.94%,1.97%
1816,bd78836a-8684-41ab-befb-832c05d859b3,1300100707,video,35784,4.49%,0.24%
1820,be17568b-fb55-470b-8c9c-1eb9110591d4,252610213,video,25506,7.96%,1.91%
1822,be333f37-f7fd-4028-82a5-2c70a54d873b,23925791,video,63809,6.14%,0.94%
1824,be4f4263-e9fa-4a91-89bf-b51a897ea2c2,39947687,video,78369,12.12%,1.22%
1826,be54e00f-d1b4-4e65-b572-6ad5fd04055a,307835956,video,52281,10.50%,2.22%
1828,be760db1-abea-45f5-a802-2486f7ae6f7c,1053097277,video,59456,16.14%,1.33%
1830,be7e7e57-dede-43ca-867e-2c910fc1fe04,222570357,video,20320,7.49%,1.37%
1833,bf41d37e-a792-47f8-a60a-94820bf10a28,342877019,video,31569,14.05%,1.64%
1835,bf9282e4-2d22-4379-bc08-29b8924c4cb7,551693915,video,38297,31.86%,1.73%
1837,c0530143-a798-4d4d-8caa-6fc65c509d3a,326438217,video,22256,24.60%,5.69%
1839,c056d65e-772c-4bd8-987d-aeb5242b01b0,485133149,video,49231,3.99%,0.63%
1841,c0c769a9-638b-4942-9db4-c994c61f920d,1536805375,video,72141,85.10%,6.19%
1843,c0d39f25-61b4-4f95-837e-91041490a6f5,1738314065,video,51940,2.01%,1.60%
1844,c0e0d27e-2a95-4900-afe5-5832c977902c,4706545813,video,43603,21.33%,1.89%
1847,c1cc3ac0-273c-4e4c-971c-99e9d9b9d655,232640434,video,64032,13.95%,2.33%
1852,c28180c4-4669-4389-aea5-b27428e48433,27877837,video,38388,3.85%,0.41%
1854,c28b3df2-93bf-461a-a4be-c413b88e40c0,308100425,video,69764,7.42%,2.02%
1858,c31df93a-9627-4355-ba65-8ead20bb1fa7,544070254,video,93513,1.94%,0.17%
1860,c32b3404-b551-4a32-ac15-b0f1bf493cd9,1271004934,video,51774,13.45%,1.73%
1863,c3dcd365-067b-474c-963e-96f3da224841,1232513704,video,85447,9.32%,2.81%
1867,c4c486dc-baa2-4606-b803-5c1763a8cde1,234291073,video,29386,3.45%,0.69%
1869,c5139ad2-009a-429c-b10f-8922ff1aaeb2,2268729203,video,72015,20.15%,5.86%
1871,c52407a9-1102-4b7c-8f49-c71dac1d5524,332155408,video,22499,1.92%,0.71%
1872,c52cc630-3e9b-483b-90e8-bc2834714509,1609470780,video,93751,39.85%,4.67%
1875,c5858a60-391d-4907-9243-e9b5c651c261,2165124850,video,40563,13.72%,0.70%
1879,c6cb2261-62b9-4b67-9163-a9c4d6a4142f,258130910,video,30982,6.99%,1.24%
1881,c6d0f074-84eb-4512-b0e7-556b9f3932d5,244817761,video,86033,11.18%,0.88%
1883,c6ddd6b5-4066-4fc4-aff2-eabaff515e51,584302042,video,33462,3.71%,0.35%
1885,c730de6c-526c-4b54-ab58-c01023f0101c,481896287,video,26390,4.96%,0.55%
1887,c771acc6-4f44-4561-8bf1-f7314adbae94,1209902117,video,56157,98.62%,6.28%
1889,c77c5d6a-47ad-4653-a48e-bb8b9102dc67,289131007,video,29692,16.48%,1.93%
1891,c78a8537-4389-42bc-93c3-3ad26afce4ed,1647194669,video,75728,6.19%,0.64%
1893,c794cc32-7703-4c95-b5d7-31f0bd0c5230,19497664,video,56381,34.76%,1.61%
1896,c7cfcc8c-7152-425f-a5af-7a1d4f105814,3855711848,video,44410,49.35%,4.12%
1898,c7d8841b-676a-43d8-a9c0-5e494d48b0f0,285550935,video,99756,22.88%,2.28%
1900,c7fb9e91-edfc-467e-986e-dd2f7559aa62,40041520,video,26072,6.34%,3.29%
1903,c8e407ab-2f67-4f36-9db7-f4aa051339fc,1492375686,video,31773,20.24%,2.88%
1905,c95c81c2-a04c-459d-8271-a53fff3e17b9,1162160017,video,93435,11.50%,1.23%
1908,c979da06-a39d-4961-9403-b400d6e163b8,1536395677,video,89838,2.40%,0.37%
1910,c9affd4c-e2ce-4ca0-bad6-b68f5fd532b4,9488149166,video,49789,75.48%,13.18%
1916,ca1604d3-4143-4957-94a6-2c4470dd3e50,334532730,video,36003,31.79%,2.21%
1918,ca391e05-6329-488e-b4b2-d411ff3455a9,1943715539,video,76414,8.69%,1.08%
1920,ca4d78c9-952c-4308-af0f-9648d2b1ba43,34441779,video,20273,5.55%,0.60%
1922,cac0b37f-6d3d-41c4-bd9a-14942d4a509f,282671433,video,44595,20.81%,2.57%
1925,cb694fe3-e59c-4355-aea1-4b287cad513a,3742111496,video,46933,26.16%,2.57%
1927,cb926f20-7001-44fa-aa12-4e5eca3d80b4,3112822888,video,36857,11.00%,2.15%
1930,cbd47a43-3109-4bf8-8a3f-352b3be90fa2,317478416,video,42334,23.80%,2.71%
1932,cc998773-702a-45a9-af7f-d3737e50de97,1804018300,video,38300,31.55%,6.68%
1934,cca0a176-f5cc-47f6-9641-98712a78bfd4,1609234328,video,40865,45.57%,3.54%
1938,ccd57878-ffd6-48bc-bb11-c1579c71cf78,247240157,video,53264,4.90%,1.17%
1940,cd240b43-3cb9-4d50-8f1f-fe70199bd0f2,2198447603,video,44398,18.22%,2.62%
1942,cd3a3ffe-574e-4b05-b1a3-94aecfedf61b,220904446,video,67863,20.83%,3.97%
1944,cd62a8fd-a154-4bcf-a730-0ac8a1010979,355587080,video,72882,153.10%,8.77%
1946,cdd25379-8b0b-4fb9-833f-a11b5f753be7,1483567486,video,68276,43.62%,11.77%
1948,cdff11ec-9d81-45ba-ab71-d12074500a44,1643277039,video,48961,14.35%,2.64%
1950,cec64669-38e4-40fb-820b-b9c87c676a0b,1426411988,video,84352,14.28%,1.02%
1951,cee1aa7e-0c31-4521-a160-41bbb4e9032a,366324377,video,34845,15.51%,3.04%
1953,cee88955-8fee-4861-a6f8-fa8f5b087a17,3310971041,video,47437,6.72%,0.83%
1955,cef1b61c-4fa6-4424-81e1-8215edb5c02a,1024084824,video,22215,2.43%,1.52%
1958,cf315d75-00fd-4e22-bf19-2c4678d21552,291128160,video,30725,6.94%,2.00%
1960,cf556075-7d46-4a26-9d9c-0ec2cd9f96dc,283587764,video,71107,31.79%,0.52%
1962,cf5ddb92-4d50-4c99-ab7a-65305d02d7fa,286644710,video,51827,10.45%,1.95%
1966,cf972540-b3dc-42f4-b40b-2d8bdfe5293e,215313701,video,67001,8.61%,0.26%
1968,cfa8a589-49ad-4f17-b19d-126b0550b4ef,395598797,video,46322,10.07%,1.82%
1970,cfc61350-73de-4110-bc81-b3c087da55a8,365518287,video,24904,19.96%,2.60%
1972,cfdc2c26-d2c6-4c95-ad70-8d2d75cc1a10,2872620412,video,51132,20.05%,2.79%
1974,cfe6abc9-43d4-415f-b41e-8163bb474e6e,217827612,video,97669,29.61%,1.77%
1977,d02896e3-755f-4949-9f05-d3fa1807fb17,539821663,video,72834,33.15%,4.67%
1979,d0427623-8bb5-4ebf-8047-62c5485aedba,50874374,video,21712,12.10%,1.72%
1981,d047e783-d12a-4be5-831a-bcb1092ba0db,3925907763,video,29578,37.54%,13.10%
1983,d05c2097-706b-489d-8e2c-947d2045652e,16374842,video,42613,4.08%,0.68%
1985,d07900f0-3c55-4a8f-9440-cf1edf975f0c,1470199946,video,82441,6.80%,1.31%
1989,d18a9df4-b349-4173-afa4-d5b4374183c0,610295525,video,64166,40.02%,6.80%
1991,d1c5500b-a904-4b81-8191-241a04b4b2e5,296080736,video,35537,1.15%,0.39%
1993,d1ef6f36-ebde-409a-af64-570edcbbdf3a,54749517,video,85206,3.81%,0.62%
1995,d21d4617-8464-4479-824f-3b40808dd887,270068386,video,49644,9.66%,1.31%
2000,d295a759-063d-49f6-8f5b-e8e17e5c4cc9,192317501,video,58068,1.07%,0.34%
2002,d2c8c266-4c02-463b-b9a6-95528a78b1ea,179417616,video,66982,4.37%,1.05%
2005,d303e140-88a8-4240-a70c-5bd021a093ff,284180537,video,99896,4.40%,0.66%
2007,d30dc4d9-180c-4ad6-bc49-766505154787,2313643910,video,71002,28.72%,4.17%
2009,d312266a-134c-4f65-87c1-d2722f1d5f58,237117100,video,43237,17.06%,1.37%
2010,d35237c1-3906-4628-b373-60a270bdb8e1,277429642,video,25748,5.26%,1.18%
2012,d3e8c9ea-2d2c-45e3-975a-53879e3b21a9,221476186,video,89948,6.32%,1.21%
2014,d4265b13-92c5-4774-9415-53ac3c3e3b55,694276419,video,37319,5.22%,1.17%
2016,d426a008-194e-4b6e-86b5-e663e1ec54cb,2067890435,video,67690,51.47%,5.91%
